Sender,Receiver,Count
Zwingli,Leonhard Tremp,3
Lucius Tscharner,Zwingli,2
Zwingli,"Valentin Krautwald, Kaspar von Schwenckfeld und an die Brüder in Schlesien",1
Gregor Mangolt,Zwingli,3
N. N.,Zwingli,2
Kaspar Kurrer,Zwingli,1
Ludwig Oechsli,Zwingli,2
Zwingli,Jörg Ottli,1
Zwingli,Johannes Döring,1
Konrad Sam,Zwingli,7
"Nürnberg, Rat",Zwingli,1
Martin Bucer,Johannes Oecolampad und an Zwingli,2
Thomas von Hofen,Leonhard Tremp und an Zwingli,1
Hans Gebentinger,Zwingli,1
Zwingli,"Glarus, Schaffhausen und Appenzell",1
Zwingli,Petrus Gynoraeus,3
Petrus Kunz,Zwingli,1
Johannes Wannenmacher,Zwingli,1
"Botschaften, eidgenössische",Zwingli,1
Barbara Nithart,Zwingli,1
Michael Cellarius,Zwingli,1
Christoph Froschauer,Zwingli,1
Johannes Haner,Zwingli,6
Kaspar Mosager,Zwingli,1
"Johannes Oecolampad, die Strassburger und an Wolfgang Capito",Zwingli,1
Johannes Zwick an Ambrosius Blarer,Zwingli,1
Wolfgang Capito und die Brüder in Strassburg,Zwingli,1
Erasmus Ritter,Zwingli,3
Zwingli,Wolfgang Capito und Johannes Oecolampad,1
Nikolaus Baling,Zwingli,3
Zwingli,Berchthold Haller,1
Thomas von Hofen,Zwingli,2
"Philipp, Markgraf von Baden",Zwingli,1
Fridolin Brunner,Zwingli,3
Christoph Landenberger,Zwingli,2
Marcus Peregrinus,Zwingli,2
Zwingli,Benedikt Dischmacher,1
Heinrich Lüti,Zwingli,1
Eberhart von Rischach d.Ä.,Zwingli,1
Heinrich Hässi,Zwingli,2
Alexius Berschi,Zwingli,1
Johannes Comander an Nikolaus Baling,Zwingli,1
Adrian Wirt,"Zürich, Bürgermeister und Rat",1
Dionysius Melander,Zwingli,1
Ulrich Herzog von Württemberg,Zwingli,1
Zwingli,Johannes Frumentarius,1
"Ulm, Bürgermeister und Rat",Zwingli,2
Johannes Oechsli,Zwingli,1
Berchtold Haller an Franz Kolb,Zwingli,1
Nicolaus Prugner,Zwingli,1
Andreas Osiander,Zwingli,2
Zwingli,Joachim Joachim Vadian,1
Georg Regel,Zwingli,2
"Bern, Brüder",Zwingli,1
Johann Herzog von Sachsen,Zwingli,1
"Philipp, Landgraf von Hessen",Zwingli,1
Zwingli,Kaspar Schaller,1
Johannes Hess,Zwingli,1
Zwingli,Martin Cellarius,1
Leonhard Castor,Zwingli,1
Zwingli,Martin Seger,3
Wilhelm von Zell,Zwingli,1
Heinrich Steiger,Zwingli,3
Sigismund Grimm,Zwingli,1
Zwingli,Anna Reinhart,1
Rudolf Thumysen,Zwingli,1
Paulus Fagius,Zwingli,2
